URI,Album,Song Name,Popularity,Disc Number,Track Number,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1BxfuPKGuaTgP7aM0Bbdwr,Lover,Cruel Summer,90,1,2,False,0.552,0.7020000000000001,9,-5.7070000000000025,1,0.157,0.1169999999999999,2.060000000000001e-05,0.105,0.564,169.99400000000003,178427,4
2OzhQlSqBEmt7hmkYxfT6m,The Tortured Poets Department,Fortnight (Ft. Post Malone),86,1,1,False,0.504,0.386,11,-10.975999999999999,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.00400000000002,228965,4
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,85,1,3,False,0.359,0.5429999999999999,7,-7.5820000000000025,1,0.0919,0.4920000000000001,1.58e-05,0.11800000000000001,0.4529999999999999,68.53399999999999,221307,4
3hUxzQpSfdDqwM3ZTFQY0K,folklore,august,85,1,8,False,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.4029999999999999,89.93700000000004,261923,4
4R2kfaDFhslZEMJqAFNpdd,folklore,cardigan,84,1,2,False,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,239560,4
4q5YezDOIPcoLr8R81x9qy,The Tortured Poets Department,I Can Do It With a Broken Heart,84,1,13,True,0.701,0.7509999999999999,0,-8.39,1,0.0502,0.12300000000000001,0.0,0.15,0.22,129.994,218005,4
1R0a2iXumgCiFb7HEZ7gUE,Reputation,Don't Blame Me,83,1,4,False,0.615,0.534,9,-6.7189999999999985,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
0V3wPSX9ygBnCm8psDIegu,Midnights,Anti-Hero,82,1,3,False,0.637,0.643,4,-6.5710000000000015,1,0.0519,0.13,1.8000000000000001e-06,0.142,0.5329999999999999,97.008,200690,4
1MgV7FIyNxIG7WzMRJV5HC,folklore,my tears ricochet,80,1,5,False,0.456,0.263,0,-10.63,1,0.0332,0.8059999999999999,0.0,0.0749,0.111,129.86,255894,4
1P17dC1amhFzptugyAO7Il,Reputation,Look What You Made Me Do,79,1,6,False,0.7659999999999999,0.7090000000000001,9,-6.471,0,0.12300000000000001,0.204,1.4099999999999999e-05,0.126,0.506,128.07,211853,4
3RauEVgRgj1IuWdJ9fDs70,Lover,The Man,79,1,4,False,0.777,0.6579999999999999,0,-5.191,1,0.054000000000000006,0.0767,0.0,0.0901,0.633,110.04799999999999,190360,4
6NFyWDv5CjfwuzoCkw47Xf,Reputation,Delicate,79,1,5,False,0.75,0.4039999999999999,9,-10.177999999999999,0,0.0682,0.21600000000000003,0.000357,0.0911,0.0499,95.045,232253,4
2yLa0QULdQr0qAIvVwN6B5,Reputation,...Ready For It?,79,1,1,False,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.1969999999999999,0.41700000000000004,160.015,208187,4
5enxwA8aAbwZbf5qCHORXi,Red,All Too Well (10 Minute Version),79,1,30,True,0.631,0.518,0,-8.771,1,0.0303,0.2739999999999999,0.0,0.08800000000000001,0.205,93.023,613027,4
1qrpoAMXodY6895hGKoUpA,Fearless,You Belong With Me,79,1,6,False,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,4
0W0iAC1VGlB82PI6elxFYf,The Tortured Poets Department,Guilty as Sin?,78,1,9,False,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.48700000000000004,94.95,254366,3
6RRNNciQGZEXnqk8SQ9yv5,Lover,You Need To Calm Down,77,1,14,False,0.7709999999999999,0.6709999999999999,2,-5.617000000000001,1,0.0553,0.009290000000000001,0.0,0.0637,0.7140000000000001,85.02600000000002,171360,4
