URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
3F5CgOj3wFlRv51JsHbxhe,"Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage),Drake; 21 Savage,1,14,81,True,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
5W8YXBz9MTIDyrpYaCg2Ky,Infest,Last Resort,Papa Roach,1,2,80,True,0.589,0.89,4,-3.719,0,0.06,0.000481,0.00082,0.201,0.687,90.586,199907,4
0e7ipj03S05BNilyu5bRzt,beerbongs & bentleys,rockstar (feat. 21 Savage),Post Malone; 21 Savage,1,6,80,True,0.585,0.52,5,-6.136,0,0.0713,0.124,7.75e-05,0.131,0.129,159.798,218147,4
5Ohxk2dO5COHF1krpoPigN,Harry Styles,Sign of the Times,Harry Styles,1,2,80,False,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
7ycWLEP1GsNjVvcjawXz3z,TESTING,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,1,5,80,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,4
5mCPDVBb16L4XQwDdbRUpz,More Life,Passionfruit,Drake,1,3,80,True,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
1xsYj84j7hUDDnTTerGWlH,Aerosmith,Dream On,Aerosmith,1,3,80,False,0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,267597,4
2igwFfvr1OAGX9SKDCPBwO,The Blueprint 3,Empire State Of Mind,JAY-Z; Alicia Keys,1,5,80,True,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,276920,4
3gdewACMIVMEWVbyb8O9sY,Honky Chateau,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1,5,80,False,0.601,0.532,10,-9.119,1,0.0286,0.433,5.95e-06,0.0925,0.342,136.576,281613,4
5zA8vzDGqPl2AzZkEYQGKh,An Innocent Man,Uptown Girl,Billy Joel,1,6,80,False,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,197707,4
34gCuhDGsG4bRPIf9bb02f,x (Deluxe Edition),Thinking out Loud,Ed Sheeran,1,11,80,False,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
40YcuQysJ0KlGQTeGUosTC,When It's Dark Out,"Me, Myself & I",G-Eazy; Bebe Rexha,1,3,80,True,0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995,251467,4
5hVghJ4KaYES3BFUATCYn0,IGOR,EARFQUAKE,"Tyler, The Creator",1,2,80,True,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
1rfofaqEpACxVEHIZBJe6W,Camila,Havana (feat. Young Thug),Camila Cabello; Young Thug,1,4,80,False,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4
6GG73Jik4jUlQCkKg9JuGO,Bleed American,The Middle,Jimmy Eat World,1,3,80,False,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,165853,4
3e7sxremeOE3wTySiOhGiP,Icarus Falls,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN; Sia,1,29,80,False,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,239000,4
1Je1IMUlBXcx1Fz0WE7oPT,Spice,Wannabe,Spice Girls,1,1,80,False,0.768,0.864,11,-6.149,1,0.0324,0.101,0.0,0.162,0.891,110.009,173027,4
43PuMrRfbyyuz4QpZ3oAwN,T R A P S O U L,Exchange,Bryson Tiller,1,3,80,True,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,194613,4
0qOnSQQF0yzuPWsXrQ9paz,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),Gym Class Heroes; Adam Levine,1,4,80,False,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4
745H5CctFr12Mo7cqa1BMH,The Temptations Sing Smokey,My Girl,The Temptations,1,3,80,False,0.574,0.418,0,-10.739,1,0.0345,0.636,0.0,0.0961,0.692,104.57,165000,4
2a1o6ZejUi8U3wzzOtCOYw,Meet The Orphans,Danza Kuduro,Don Omar; Lucenzo,1,12,80,False,0.4,0.915,0,-4.89,1,0.279,0.083,0.0,0.0503,0.871,89.006,198773,3
0ByMNEPAPpOR5H69DVrTNy,Good Girl Gone Bad: Reloaded,Don't Stop The Music,Rihanna,1,3,80,False,0.834,0.669,6,-5.582,0,0.0637,0.0341,7.18e-05,0.0535,0.547,122.669,267080,4
4HYDUMY0xSpeBr0AMY9cUz,Platonicos,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1,4,80,False,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,219048,4
4PMqSO5qyjpvzhlLI5GnID,SOS,Good Days,SZA,1,22,80,True,0.461,0.651,1,-8.81,0,0.0568,0.418,1.26e-05,0.782,0.383,121.07,278480,4
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,In My Mind,Dynoro; Gigi D'Agostino,1,1,80,False,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
4o6BgsqLIBViaGVbx5rbRk,Voices,You Make My Dreams (Come True),Daryl Hall & John Oates,1,8,80,False,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4
4jPy3l0RUwlUI9T5XHBW2m,El Dorado,Mood (feat. iann dior),24kGoldn; iann dior,1,13,80,True,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4
2tnVG71enUj33Ic2nFN6kZ,Ride It,Ride It,Regard,1,1,80,False,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4
0ikz6tENMONtK6qGkOrU3c,Make It Big,Wake Me Up Before You Go-Go,Wham!,1,1,80,False,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,231333,4
